representative,ticker,transaction_date,transaction_type,range,price_change
Shelley Moore Capito,AFL,2025-01-17,Sale (Partial),"$1,001 - $15,000",1.64334679312612
Shelley Moore Capito,BLK,2025-01-17,Sale (Partial),"$1,001 - $15,000",-5.29672822798917
Shelley Moore Capito,JPM,2025-01-17,Sale (Partial),"$1,001 - $15,000",-6.76416113597779
Julie Johnson,MRK,2025-01-17,Purchase,"$1,001 - $15,000",-4.91217320261438
Josh Gottheimer,NVDA,2025-01-17,Sale,"$1,001 - $15,000",-14.5305351826302
Shelley Moore Capito,MSFT,2025-01-17,Sale (Partial),"$1,001 - $15,000",-8.80358016921893
Josh Gottheimer,PAR,2025-01-17,Purchase,"$1,001 - $15,000",-15.655737704918
Julie Johnson,WMT,2025-01-17,Sale,"$1,001 - $15,000",-6.48248857950837
Josh Gottheimer,NVDA,2025-01-16,Sale,"$1,001 - $15,000",-11.8814104963689
Rob Bresnahan,LRCX,2025-01-16,Purchase,"$1,001 - $15,000",-4.2665993436001
Josh Gottheimer,DHI,2025-01-16,Purchase,"$1,001 - $15,000",-12.1145975443383
Byron Donalds,FCNCA,2025-01-16,Purchase,"$1,001 - $15,000",-14.1376895283417
Josh Gottheimer,TDG,2025-01-16,Sale,"$1,001 - $15,000",1.82296788248286
Byron Donalds,GDDY,2025-01-16,Purchase,"$1,001 - $15,000",-10.2165795369679
Byron Donalds,GDDY,2025-01-16,Purchase,"$1,001 - $15,000",-10.2165795369679
Byron Donalds,RLI,2025-01-16,Sale,"$1,001 - $15,000",-2.12000513940639
Josh Gottheimer,D,2025-01-16,Purchase,"$1,001 - $15,000",-0.926262259353442
Byron Donalds,RLI,2025-01-16,Sale,"$1,001 - $15,000",-2.12000513940639
Josh Gottheimer,UNICY,2025-01-16,Purchase,"$1,001 - $15,000",-21.4141414141414
Thomas H. Kean Jr,AMZN,2025-01-16,Purchase,"$1,001 - $15,000",-11.0803951781021
Josh Gottheimer,JNJ,2025-01-16,Purchase,"$1,001 - $15,000",10.7328957163159
Tim Moore,HOG,2025-01-16,Sale,"$100,001 - $250,000",-16.6329284750337
John Boozman,SPY,2025-01-16,Sale (Full),"$1,001 - $15,000",-4.67514028801298
Josh Gottheimer,MSFT,2025-01-16,Sale,"$1,001 - $15,000",-7.84775542889444
Josh Gottheimer,TLK,2025-01-16,Purchase,"$1,001 - $15,000",-12.2297714638666
Josh Gottheimer,BRK.B,2025-01-16,Purchase,"$1,001 - $15,000",12.7698191482466
Josh Gottheimer,KO,2025-01-16,Purchase,"$1,001 - $15,000",10.3132530120482
Josh Gottheimer,META,2025-01-16,Sale,"$1,001 - $15,000",-2.46196630132504
Josh Gottheimer,MA,2025-01-16,Sale,"$1,001 - $15,000",2.39897541767024
John Boozman,TBLL,2025-01-16,Purchase,"$1,001 - $15,000",0.047182254933579
Byron Donalds,MRK,2025-01-16,Sale,"$1,001 - $15,000",-7.53723932472691
Josh Gottheimer,GMAB,2025-01-16,Purchase,"$1,001 - $15,000",-6.880301602262
David H. McCormick,RUM,2025-01-16,Sale (Full),"$1,000,001 - $5,000,000",-36.8163265306122
Byron Donalds,RLI,2025-01-16,Sale,"$1,001 - $15,000",-2.12000513940639
Josh Gottheimer,SHEL,2025-01-16,Purchase,"$1,001 - $15,000",6.86230248306998
Josh Gottheimer,NSRGY,2025-01-16,Purchase,"$1,001 - $15,000",27.2113022113022
Byron Donalds,MRK,2025-01-16,Sale,"$1,001 - $15,000",-7.53723932472691
Josh Gottheimer,PANW,2025-01-16,Sale,"$1,001 - $15,000",2.90681266580121
Josh Gottheimer,GOOG,2025-01-16,Sale,"$1,001 - $15,000",-14.4848516022838
Julie Johnson,CRL,2025-01-15,Purchase,"$1,001 - $15,000",-3.81231671554252
Julie Johnson,DHR,2025-01-15,Sale,"$1,001 - $15,000",-11.1820817750137
Julie Johnson,MNST,2025-01-15,Sale,"$1,001 - $15,000",16.3418595209095
Julie Johnson,PFE,2025-01-15,Sale,"$1,001 - $15,000",0.228832951945089
Julie Johnson,AVGO,2025-01-15,Sale,"$1,001 - $15,000",-15.9385964912281
Rob Bresnahan,BRK.B,2025-01-15,Sale,"$15,001 - $50,000",13.8273974395324
Julie Johnson,CI,2025-01-15,Purchase,"$1,001 - $15,000",11.269238878347
Julie Johnson,UBER,2025-01-15,Purchase,"$1,001 - $15,000",13.1602506714414
Julie Johnson,HAS,2025-01-15,Purchase,"$1,001 - $15,000",7.85256410256411
Julie Johnson,DLTR,2025-01-15,Purchase,"$1,001 - $15,000",-5.10378163207279
Julie Johnson,ES,2025-01-15,Purchase,"$1,001 - $15,000",7.63116057233704
Julie Johnson,BA,2025-01-15,Purchase,"$1,001 - $15,000",7.16606498194947
Julie Johnson,ENPH,2025-01-15,Purchase,"$1,001 - $15,000",-6.51678566003342
Julie Johnson,MKTX,2025-01-15,Purchase,"$1,001 - $15,000",-0.436139932053984
Julie Johnson,SBAC,2025-01-15,Purchase,"$1,001 - $15,000",12.3764133245449
Julie Johnson,QRVO,2025-01-15,Sale,"$1,001 - $15,000",-3.18230852211435
Julie Johnson,COP,2025-01-15,Purchase,"$1,001 - $15,000",-3.37504740235116
Julie Johnson,PLTR,2025-01-15,Purchase,"$1,001 - $15,000",33.4898737892574
Julie Johnson,EL,2025-01-15,Purchase,"$1,001 - $15,000",-10.1583467525496
Julie Johnson,DG,2025-01-15,Purchase,"$1,001 - $15,000",22.0067084730932
Jared Moskowitz,MRK,2025-01-15,Sale,"$1,001 - $15,000",-6.97372364871616
Julie Johnson,NKE,2025-01-15,Sale,"$1,001 - $15,000",-4.40410862529899
Julie Johnson,MSCI,2025-01-15,Purchase,"$1,001 - $15,000",-6.39600665557405
Jared Moskowitz,MRK,2025-01-15,Sale,"$1,001 - $15,000",-6.97372364871616
Julie Johnson,REGN,2025-01-15,Purchase,"$1,001 - $15,000",-6.39011699813769
Jared Moskowitz,SYK,2025-01-15,Purchase,"$1,001 - $15,000",0.678223596755378
Julie Johnson,LW,2025-01-15,Sale,"$1,001 - $15,000",-10.0643849542528
Jared Moskowitz,CNI,2025-01-15,Sale,"$1,001 - $15,000",-3.85341146091965
Julie Johnson,SOLV,2025-01-15,Sale,"$1,001 - $15,000",2.69332222684992
Julie Johnson,SMCI,2025-01-15,Purchase,"$1,001 - $15,000",36.0116166505324
Jared Moskowitz,ABBV,2025-01-15,Purchase,"$1,001 - $15,000",22.5620075868106
Julie Johnson,CAG,2025-01-15,Sale,"$1,001 - $15,000",0.666405331242643
Julie Johnson,CSGP,2025-01-15,Sale,"$1,001 - $15,000",7.15651461349357
Jared Moskowitz,ABBV,2025-01-15,Purchase,"$1,001 - $15,000",22.5620075868106
Rob Bresnahan,BRK.B,2025-01-15,Sale,"$15,001 - $50,000",13.8273974395324
Jared Moskowitz,CNI,2025-01-15,Sale,"$1,001 - $15,000",-3.85341146091965
Julie Johnson,BMY,2025-01-15,Purchase,"$1,001 - $15,000",9.22911822571991
Julie Johnson,DOW,2025-01-15,Purchase,"$1,001 - $15,000",-10.470297029703
Julie Johnson,JNPR,2025-01-15,Purchase,"$1,001 - $15,000",-6.77527799327645
Jared Moskowitz,GS,2025-01-15,Purchase,"$1,001 - $15,000",-6.73026142064959
Julie Johnson,VZ,2025-01-15,Sale,"$1,001 - $15,000",15.2173913043478
Debbie Dingell,DIS,2025-01-15,Purchase,"$1,001 - $15,000",-8.06063967461639
Jared Moskowitz,SYK,2025-01-15,Purchase,"$1,001 - $15,000",0.678223596755378
Jared Moskowitz,CNI,2025-01-15,Sale,"$1,001 - $15,000",-3.85341146091965
Julie Johnson,STZ,2025-01-15,Sale,"$1,001 - $15,000",-1.82602921646747
Julie Johnson,CVS,2025-01-15,Sale,"$1,001 - $15,000",28.5960874568469
Julie Johnson,HSY,2025-01-15,Purchase,"$1,001 - $15,000",10.168039538715
Jared Moskowitz,ABT,2025-01-15,Sale,"$1,001 - $15,000",13.7173717371737
Rob Bresnahan,BRK.B,2025-01-15,Purchase,"$50,001 - $100,000",13.8273974395324
Julie Johnson,MRNA,2025-01-15,Sale,"$1,001 - $15,000",-6.06844981305725
Jared Moskowitz,ABT,2025-01-15,Sale,"$1,001 - $15,000",13.7173717371737
Julie Johnson,NEE,2025-01-15,Purchase,"$1,001 - $15,000",2.29470342040697
Jared Moskowitz,MCK,2025-01-15,Purchase,"$1,001 - $15,000",13.3207644185448
Julie Johnson,WBA,2025-01-15,Purchase,"$1,001 - $15,000",-11.4126097366321
Jared Moskowitz,MCK,2025-01-15,Purchase,"$1,001 - $15,000",13.3207644185448
Julie Johnson,PEP,2025-01-15,Purchase,"$1,001 - $15,000",0.46277110098079
Julie Johnson,AMT,2025-01-15,Sale,"$1,001 - $15,000",19.9145962732919
Jared Moskowitz,ABT,2025-01-15,Sale,"$1,001 - $15,000",13.7173717371737
Jared Moskowitz,GS,2025-01-15,Purchase,"$1,001 - $15,000",-6.73026142064959
Jared Moskowitz,GS,2025-01-15,Purchase,"$1,001 - $15,000",-6.73026142064959
Nancy Pelosi,TEM,2025-01-14,Purchase,"$50,001 - $100,000",61.3257932767829
John Boozman,NVDA,2025-01-14,Purchase,"$1,001 - $15,000",-10.6709168184578
John Boozman,CRM,2025-01-14,Purchase,"$1,001 - $15,000",-13.26574766644
John Boozman,MA,2025-01-14,Purchase,"$1,001 - $15,000",5.23947978468431
Brad Knott,CMPO,2025-01-14,Purchase,"$1,001 - $15,000",-19.9149539333806
Nancy Pelosi,NVDA,2025-01-14,Purchase,"$250,001 - $500,000",-10.6709168184578
John Boozman,CSCO,2025-01-14,Sale (Full),"$1,001 - $15,000",1.63492331029833
John Boozman,EBAY,2025-01-14,Sale (Full),"$1,001 - $15,000",2.12699891321224
Nancy Pelosi,GOOGL,2025-01-14,Purchase,"$250,001 - $500,000",-13.5347463882737
Nancy Pelosi,VST,2025-01-14,Purchase,"$500,001 - $1,000,000",-23.4179813500674
Nancy Pelosi,AMZN,2025-01-14,Purchase,"$250,001 - $500,000",-9.89621601763409
John Boozman,QQQ,2025-01-14,Sale (Full),"$1,001 - $15,000",-4.7992397244001
Rob Bresnahan,GOOG,2025-01-13,Sale,"$1,001 - $15,000",-13.5420458682199
August Lee Pfluger Ii,WBD,2025-01-13,Sale,"$1,001 - $15,000",9.14634146341464
Rob Bresnahan,PANW,2025-01-13,Sale,"$1,001 - $15,000",8.6402097485401
Rob Bresnahan,SNPS,2025-01-13,Sale,"$1,001 - $15,000",-7.96627208009355
Rob Bresnahan,BRO,2025-01-13,Sale,"$1,001 - $15,000",15.57289127255
Rob Bresnahan,SMCI,2025-01-13,Sale,"$1,001 - $15,000",35.6177606177606
Rob Bresnahan,PWR,2025-01-13,Sale,"$1,001 - $15,000",-14.6421411068326
Rob Bresnahan,CDW,2025-01-13,Sale,"$1,001 - $15,000",-8.48441300022109
Rob Bresnahan,BRK.B,2025-01-13,Purchase,"$1,001 - $15,000",17.5711292829628
Rob Bresnahan,AAON,2025-01-13,Sale,"$1,001 - $15,000",-35.4538087520259
Rob Bresnahan,PCTY,2025-01-13,Sale,"$1,001 - $15,000",0.914970815586059
Rob Bresnahan,ICE,2025-01-13,Sale,"$1,001 - $15,000",21.1967475154632
Rob Bresnahan,BA,2025-01-13,Sale,"$15,001 - $50,000",4.42047253327081
Rob Bresnahan,RCL,2025-01-13,Sale,"$1,001 - $15,000",-5.16657131540729
Rob Bresnahan,DIS,2025-01-13,Sale,"$1,001 - $15,000",-7.97557364914878
Rob Bresnahan,DBX,2025-01-13,Sale,"$1,001 - $15,000",-10.5032083755488
Rob Bresnahan,CMG,2025-01-13,Sale,"$1,001 - $15,000",-13.7397795947387
Rob Bresnahan,AMD,2025-01-13,Sale,"$1,001 - $15,000",-9.27378111148994
Rob Bresnahan,TMUS,2025-01-13,Sale,"$1,001 - $15,000",19.8538367844093
Rob Bresnahan,NFLX,2025-01-13,Sale,"$1,001 - $15,000",14.2807840150424
Rob Bresnahan,WSC,2025-01-13,Sale,"$1,001 - $15,000",-15.6506946413383
Rob Bresnahan,TDG,2025-01-13,Sale,"$1,001 - $15,000",5.29230480421756
Rob Bresnahan,APPF,2025-01-13,Sale,"$1,001 - $15,000",-11.2059369202226
Rob Bresnahan,DRI,2025-01-13,Sale,"$1,001 - $15,000",9.38884937352957
Rob Bresnahan,FIX,2025-01-13,Sale,"$1,001 - $15,000",-19.8128244831041
Gilbert Cisneros,WTW,2025-01-13,Purchase,"$15,001 - $50,000",6.89134485639015
Rob Bresnahan,GDDY,2025-01-13,Sale,"$1,001 - $15,000",-6.80138508450049
Rob Bresnahan,MOH,2025-01-13,Sale,"$1,001 - $15,000",5.2572592969944
Gilbert Cisneros,KMX,2025-01-13,Purchase,"$1,001 - $15,000",-9.14649681528663
Rob Bresnahan,CI,2025-01-13,Sale,"$1,001 - $15,000",12.1083377588954
Rob Bresnahan,HEI,2025-01-13,Sale,"$1,001 - $15,000",15.5545735749006
Rob Bresnahan,HEI,2025-01-13,Sale,"$1,001 - $15,000",15.5545735749006
Rob Bresnahan,MANH,2025-01-13,Sale,"$1,001 - $15,000",-35.5218030377266
Rob Bresnahan,CDNS,2025-01-13,Sale,"$1,001 - $15,000",-10.2837606837607
Rob Bresnahan,IR,2025-01-13,Sale,"$1,001 - $15,000",-8.18779768655025
Rob Bresnahan,LIN,2025-01-13,Sale,"$1,001 - $15,000",8.75590252236432
Rob Bresnahan,CELH,2025-01-13,Sale,"$1,001 - $15,000",21.3785477331368
Rob Bresnahan,ZS,2025-01-13,Sale,"$1,001 - $15,000",10.032709528661
Rob Bresnahan,NVR,2025-01-13,Sale,"$1,001 - $15,000",-9.76149208741522
Rob Bresnahan,BRK.B,2025-01-13,Purchase,"$15,001 - $50,000",17.5711292829628
Rob Bresnahan,MSCI,2025-01-13,Sale,"$1,001 - $15,000",-3.09377799214498
Rob Bresnahan,AXON,2025-01-13,Sale,"$1,001 - $15,000",-1.52634170359428
Gilbert Cisneros,KLAC,2025-01-13,Sale,"$1,001 - $15,000",2.24315836698071
Rob Bresnahan,BRK.B,2025-01-13,Sale,"$15,001 - $50,000",17.5711292829628
Rob Bresnahan,CVX,2025-01-13,Sale,"$1,001 - $15,000",6.0508529127776
Rob Bresnahan,MEDP,2025-01-13,Sale,"$1,001 - $15,000",-7.89182125507797
Julie Johnson,PPG,2025-01-13,Sale,"$1,001 - $15,000",-3.54529616724738
Rob Bresnahan,SAIA,2025-01-13,Sale,"$1,001 - $15,000",-21.5978568496554
Rob Bresnahan,ADBE,2025-01-13,Sale,"$1,001 - $15,000",-5.19951040391677
Rob Bresnahan,BRK.B,2025-01-13,Purchase,"$1,001 - $15,000",17.5711292829628
Rob Bresnahan,UNH,2025-01-13,Sale,"$1,001 - $15,000",-4.48867206268248
Rob Bresnahan,ANET,2025-01-13,Sale,"$1,001 - $15,000",-26.1985085227273
Rob Bresnahan,ELV,2025-01-13,Sale,"$1,001 - $15,000",7.74294433655325
Rob Bresnahan,MA,2025-01-13,Sale,"$1,001 - $15,000",6.09613594501991
Rob Bresnahan,EME,2025-01-13,Sale,"$1,001 - $15,000",-15.5286673222455
Rob Bresnahan,ACN,2025-01-13,Sale,"$1,001 - $15,000",-12.5508392049035
Rob Bresnahan,FTNT,2025-01-13,Sale,"$1,001 - $15,000",5.13694980283492
Rob Bresnahan,WMS,2025-01-13,Sale,"$1,001 - $15,000",-5.87928335362672
Gilbert Cisneros,WAB,2025-01-13,Sale,"$15,001 - $50,000",-3.68015012510425
Rob Bresnahan,NTNX,2025-01-13,Sale,"$1,001 - $15,000",16.6586807219294
Rob Bresnahan,PSTG,2025-01-13,Sale,"$1,001 - $15,000",-18.2776801405975
Rob Bresnahan,PFGC,2025-01-13,Sale,"$1,001 - $15,000",-9.31001890359168
Rob Bresnahan,DECK,2025-01-13,Sale,"$1,001 - $15,000",-42.3921012757222
Rob Bresnahan,BR,2025-01-13,Sale,"$1,001 - $15,000",3.59859436857791
Rob Bresnahan,LULU,2025-01-13,Sale,"$1,001 - $15,000",-19.1144762573334
Rob Bresnahan,CLH,2025-01-13,Sale,"$1,001 - $15,000",-14.5807966602887
Rob Bresnahan,PAYX,2025-01-13,Sale,"$1,001 - $15,000",1.7718636590052
Rob Bresnahan,INTU,2025-01-13,Sale,"$1,001 - $15,000",-1.49701575291087
Gilbert Cisneros,LNTH,2025-01-13,Purchase,"$1,001 - $15,000",3.23296354992075
Rob Bresnahan,MPWR,2025-01-13,Sale,"$1,001 - $15,000",0.618030135353707
Rob Bresnahan,BAH,2025-01-13,Sale,"$1,001 - $15,000",-22.9277679100059
Rob Bresnahan,PCAR,2025-01-13,Sale,"$1,001 - $15,000",-10.2163461538462
Rob Bresnahan,AAON,2025-01-13,Sale,"$1,001 - $15,000",-35.4538087520259
Rob Bresnahan,RMD,2025-01-13,Sale,"$1,001 - $15,000",-4.58612003821767
Tim Moore,F,2025-01-13,Purchase,"$15,001 - $50,000",2.98661174047373
Rob Bresnahan,SBAC,2025-01-13,Sale,"$1,001 - $15,000",13.684858432499
Rob Bresnahan,WAB,2025-01-13,Sale,"$1,001 - $15,000",-3.68015012510425
Rob Bresnahan,NOW,2025-01-13,Sale,"$1,001 - $15,000",-18.5076889755252
Rob Bresnahan,ELF,2025-01-13,Sale,"$1,001 - $15,000",-52.4296094459582
Rob Bresnahan,BERY,2025-01-13,Sale,"$1,001 - $15,000",3.15008329547175
Rob Bresnahan,LW,2025-01-13,Sale,"$1,001 - $15,000",-12.7691043549712
Rob Bresnahan,GPK,2025-01-13,Sale,"$1,001 - $15,000",-5.73984345881476
Rob Bresnahan,CHDN,2025-01-13,Sale,"$1,001 - $15,000",-12.5585023400936
Rob Bresnahan,ANSS,2025-01-13,Sale,"$1,001 - $15,000",-3.85242741481064
Gilbert Cisneros,STZ,2025-01-13,Purchase,"$1,001 - $15,000",-4.5667258350815
Rob Bresnahan,URI,2025-01-13,Sale,"$1,001 - $15,000",-8.85003264891533
Rob Bresnahan,MSFT,2025-01-13,Sale,"$1,001 - $15,000",-6.21539346580695
Tim Moore,HOG,2025-01-13,Purchase,"$50,001 - $100,000",-12.4690046050301
Rob Bresnahan,CRWD,2025-01-13,Sale,"$1,001 - $15,000",6.08563228489429
Rob Bresnahan,HQY,2025-01-13,Sale,"$1,001 - $15,000",-16.6372029070909
Rob Bresnahan,CRM,2025-01-13,Sale,"$1,001 - $15,000",-12.0506471934058
Rob Bresnahan,IBP,2025-01-13,Sale,"$1,001 - $15,000",-1.57151837247843
Tommy Tuberville,AAPL,2025-01-10,Sale (Full),"$15,001 - $50,000",-7.84462740130884
Tommy Tuberville,CARR,2025-01-10,Sale (Full),"$1,001 - $15,000",-0.511201323109312
Tommy Tuberville,TXN,2025-01-10,Sale (Full),"$15,001 - $50,000",-5.86379174336051
Tommy Tuberville,DEO,2025-01-10,Sale (Full),"$15,001 - $50,000",-9.46460289266683
Tommy Tuberville,MSFT,2025-01-10,Sale (Full),"$15,001 - $50,000",-6.609380594343
Brad Knott,CMPO,2025-01-10,Purchase,"$1,001 - $15,000",-18.5878962536023
Tommy Tuberville,TSCO,2025-01-10,Sale (Full),"$15,001 - $50,000",-3.90181351895952
Brad Knott,ORMP,2025-01-10,Sale,"$15,001 - $50,000",-2.51046025104603
Josh Gottheimer,ISRG,2025-01-10,Sale,"$1,001 - $15,000",-10.042559409648
Gilbert Cisneros,TCTZF,2025-01-09,Sale,"$1,001 - $15,000",37.3695198329854
Tim Moore,HOG,2025-01-09,Purchase,"$15,001 - $50,000",-11.1151079136691
Marjorie Taylor Greene,JPM,2025-01-08,Purchase,"$1,001 - $15,000",-0.616953892979065
Marjorie Taylor Greene,JPM,2025-01-08,Purchase,"$1,001 - $15,000",-0.616953892979065
Marjorie Taylor Greene,NVDA,2025-01-08,Purchase,"$1,001 - $15,000",-15.9945756905289
Marjorie Taylor Greene,BRK.B,2025-01-08,Purchase,"$1,001 - $15,000",15.5077018413598
Marjorie Taylor Greene,CAT,2025-01-08,Purchase,"$1,001 - $15,000",-7.00418201456782
Marjorie Taylor Greene,AMZN,2025-01-08,Purchase,"$1,001 - $15,000",-11.6688425696664
Marjorie Taylor Greene,TSLA,2025-01-08,Purchase,"$1,001 - $15,000",-37.025877348458
Marjorie Taylor Greene,JPM,2025-01-08,Purchase,"$1,001 - $15,000",-0.616953892979065
Marjorie Taylor Greene,TSLA,2025-01-08,Purchase,"$1,001 - $15,000",-37.025877348458
Marjorie Taylor Greene,TSLA,2025-01-08,Purchase,"$1,001 - $15,000",-37.025877348458
Marjorie Taylor Greene,AMZN,2025-01-08,Purchase,"$1,001 - $15,000",-11.6688425696664
Marjorie Taylor Greene,TSLA,2025-01-08,Purchase,"$1,001 - $15,000",-37.025877348458
Marjorie Taylor Greene,AMZN,2025-01-08,Purchase,"$1,001 - $15,000",-11.6688425696664
Marjorie Taylor Greene,HD,2025-01-08,Purchase,"$1,001 - $15,000",-9.31043388429752
Marjorie Taylor Greene,JNJ,2025-01-08,Purchase,"$1,001 - $15,000",15.0137063330287
Marjorie Taylor Greene,JNJ,2025-01-08,Purchase,"$1,001 - $15,000",15.0137063330287
Marjorie Taylor Greene,GOOG,2025-01-08,Purchase,"$1,001 - $15,000",-14.9137622191514
Marjorie Taylor Greene,INTC,2025-01-08,Purchase,"$1,001 - $15,000",22.0321931589537
Marjorie Taylor Greene,INTC,2025-01-08,Purchase,"$1,001 - $15,000",22.0321931589537
Marjorie Taylor Greene,UPS,2025-01-08,Purchase,"$1,001 - $15,000",-9.19848532660146
Marjorie Taylor Greene,HSY,2025-01-08,Purchase,"$1,001 - $15,000",3.05757613117988
Gilbert Cisneros,XRAY,2025-01-08,Sale,"$1,001 - $15,000",-17.4535809018568
Marjorie Taylor Greene,BRK.B,2025-01-08,Purchase,"$1,001 - $15,000",15.5077018413598
Marjorie Taylor Greene,AMD,2025-01-08,Purchase,"$1,001 - $15,000",-12.639527248851
Marjorie Taylor Greene,IBIT,2025-01-08,Purchase,"$1,001 - $15,000",-10.5736782902137
Marjorie Taylor Greene,AMD,2025-01-08,Purchase,"$1,001 - $15,000",-12.639527248851
Markwayne Mullin,ABT,2025-01-08,Sale (Full),"$1,001 - $15,000",10.582056892779
Marjorie Taylor Greene,ASML,2025-01-08,Purchase,"$1,001 - $15,000",-3.73128309900804
Marjorie Taylor Greene,PANW,2025-01-08,Purchase,"$1,001 - $15,000",5.4909448591101
Tim Moore,F,2025-01-08,Purchase,"$15,001 - $50,000",2.6694045174538
Marjorie Taylor Greene,CAT,2025-01-08,Purchase,"$1,001 - $15,000",-7.00418201456782
Markwayne Mullin,EZU,2025-01-08,Sale (Partial),"$15,001 - $50,000",14.4918444165621
Marjorie Taylor Greene,JPM,2025-01-08,Purchase,"$1,001 - $15,000",-0.616953892979065
Marjorie Taylor Greene,AMZN,2025-01-08,Purchase,"$1,001 - $15,000",-11.6688425696664
Marjorie Taylor Greene,BRK.B,2025-01-08,Purchase,"$1,001 - $15,000",15.5077018413598
Gilbert Cisneros,LNTH,2025-01-08,Purchase,"$1,001 - $15,000",3.94680851063829
Marjorie Taylor Greene,JNJ,2025-01-08,Purchase,"$1,001 - $15,000",15.0137063330287
Marjorie Taylor Greene,AMD,2025-01-08,Purchase,"$1,001 - $15,000",-12.639527248851
Marjorie Taylor Greene,SCCO,2025-01-08,Purchase,"$1,001 - $15,000",5.79808486605863
Marjorie Taylor Greene,GOOG,2025-01-08,Purchase,"$1,001 - $15,000",-14.9137622191514
Marjorie Taylor Greene,PANW,2025-01-08,Purchase,"$1,001 - $15,000",5.4909448591101
Josh Gottheimer,LLY,2025-01-08,Sale,"$1,001 - $15,000",6.39592490028201
Markwayne Mullin,IEFA,2025-01-08,Sale (Partial),"$15,001 - $50,000",9.50162360581675
Marjorie Taylor Greene,AMD,2025-01-08,Purchase,"$1,001 - $15,000",-12.639527248851
Marjorie Taylor Greene,CAT,2025-01-08,Purchase,"$1,001 - $15,000",-7.00418201456782
Marjorie Taylor Greene,UPS,2025-01-08,Purchase,"$1,001 - $15,000",-9.19848532660146
Emily Randall,GOOG,2025-01-07,Sale,"$1,001 - $15,000",-15.4847237049464
Gilbert Cisneros,APG,2025-01-07,Purchase,"$1,001 - $15,000",0.405515004055146
Thomas H. Kean Jr,CCK,2025-01-07,Purchase,"$1,001 - $15,000",9.16106547174508
Rick Larsen,CTAS,2025-01-07,Purchase,"$1,001 - $15,000",1.29821958456973
William R. Keating,ABNB,2025-01-07,Sale,"$1,001 - $15,000",-1.89656485642469
Rick Larsen,UNH,2025-01-07,Sale,"$1,001 - $15,000",0.505590666018478
William R. Keating,FI,2025-01-07,Purchase,"$1,001 - $15,000",7.00127563536454
Marco Rubio,CSCO,2025-01-07,Sale (Full),"$1,001 - $15,000",2.32479212625148
Tim Moore,HOG,2025-01-07,Sale,"$250,001 - $500,000",-16.1235573659199
Gilbert Cisneros,FTV,2025-01-07,Purchase,"$1,001 - $15,000",-2.426614481409
Rick Larsen,BR,2025-01-07,Purchase,"$1,001 - $15,000",2.90738776952987
Marco Rubio,KO,2025-01-07,Sale (Full),"$1,001 - $15,000",12.8698224852071
William R. Keating,AMZN,2025-01-07,Purchase,"$1,001 - $15,000",-11.6608887488182
Gilbert Cisneros,FERG,2025-01-07,Purchase,"$1,001 - $15,000",-5.73718134835375
Rick Larsen,VRSK,2025-01-07,Purchase,"$1,001 - $15,000",4.25563030125769
Gilbert Cisneros,WAB,2025-01-07,Sale,"$1,001 - $15,000",-2.30517077297239
Rick Larsen,GOOGL,2025-01-07,Purchase,"$1,001 - $15,000",-16.1133561819019
Gilbert Cisneros,GDDY,2025-01-07,Sale,"$1,001 - $15,000",-7.79260622794906
Tim Moore,F,2025-01-07,Sale,"$100,001 - $250,000",2.45901639344263
Rick Larsen,BAH,2025-01-07,Sale,"$1,001 - $15,000",-19.421231816775
Rick Larsen,GD,2025-01-07,Sale,"$1,001 - $15,000",1.44810321586753
Rick Larsen,CMCSA,2025-01-07,Sale,"$1,001 - $15,000",-1.15653577192039
Gilbert Cisneros,LNTH,2025-01-07,Purchase,"$1,001 - $15,000",0.815105241436228
Gilbert Cisneros,XRAY,2025-01-07,Sale,"$1,001 - $15,000",-16.3890381515314
Emily Randall,VZ,2025-01-06,Sale,"$1,001 - $15,000",11.0578136834133
Emily Randall,ABT,2025-01-06,Sale,"$1,001 - $15,000",11.7657466383581
Emily Randall,PEP,2025-01-06,Sale,"$1,001 - $15,000",-0.560607096465455
Sheldon Whitehouse,NVDA,2025-01-06,Sale (Partial),"$15,001 - $50,000",-21.2340226192866
Emily Randall,WFC,2025-01-06,Sale,"$1,001 - $15,000",0.68027210884353
Tim Moore,F,2025-01-06,Purchase,"$15,001 - $50,000",0.806451612903226
Emily Randall,XOM,2025-01-06,Sale,"$1,001 - $15,000",7.20252459625024
Emily Randall,AMGN,2025-01-06,Sale,"$1,001 - $15,000",22.2166363741831
Emily Randall,MDT,2025-01-06,Sale,"$1,001 - $15,000",13.1387775551102
Emily Randall,FTV,2025-01-06,Sale,"$1,001 - $15,000",-2.26084683742811
Emily Randall,MDLZ,2025-01-06,Sale,"$1,001 - $15,000",10.8038474750945
Emily Randall,PG,2025-01-06,Sale,"$1,001 - $15,000",3.7920298879203
Tim Moore,HOG,2025-01-03,Purchase,"$50,001 - $100,000",-17.6607797400866
Tim Moore,F,2025-01-03,Purchase,"$50,001 - $100,000",1.21457489878542
Shelley Moore Capito,MSFT,2025-01-03,Sale (Partial),"$1,001 - $15,000",-7.5800165347821
James Comer,SOFI,2025-01-02,Purchase,"$1,001 - $15,000",-8.91719745222931
James Comer,AVGO,2025-01-02,Purchase,"$1,001 - $15,000",-17.3808086904043
James Comer,COST,2025-01-02,Purchase,"$1,001 - $15,000",-0.0604521823237769
